title,url
The Mirror Crack'd from Side to Side  by Agatha Christie- google books,https://books.google.com/books/about/The_Mirror_Crack_d_from_Side_to_Side.html?id=lTYId7FIJEsC
Mrs McGinty's Dead  by Agatha Christie- google books,https://books.google.com/books/about/Mrs_McGinty_s_Dead.html?id=dzls8I6KSb0C
Taken at the Flood  by Agatha Christie- google books,https://books.google.com/books/about/Taken_at_the_Flood.html?id=3gWlxIFlMEwC
The Hollow  by Agatha Christie- google books,https://books.google.com/books/about/The_Hollow.html?id=-f1h4e0hl0oC
Third Girl  by Agatha Christie- google books,https://books.google.com/books/about/Third_Girl.html?id=g6hHxAEACAAJ
The Secret of Chimneys  by Agatha Christie- google books,https://books.google.com/books/about/The_Secret_of_Chimneys.html?id=1OluX5g96OcC
The Lord of the Rings  by J. R. R. Tolkien- google books,https://books.google.com/books/about/The_Lord_Of_The_Rings.html?id=yl4dILkcqm4C
The Metaphysical Club  by Louis Menand- google books,https://books.google.com/books/about/The_Metaphysical_Club.html?id=Vc1EAwAAQBAJ
Wilkins' Tooth  by Diana Wynne Jones- google books,https://books.google.com/books?id=lXUSHqQfOD8C
Cut  by Patricia McCormick- google books,https://www.amazon.com/Cut-Patricia-McCormick/dp/0545290791
The Lord of the Rings The Art of The Return of the King by Gary Russell- google books,https://books.google.com/books/about/The_Lord_of_the_Rings.html?id=oEZ6AAAACAAJ
The Lord of the Rings  by John Ronald Reuel Tolkien- google books,https://books.google.com/books/about/The_Lord_Of_The_Rings.html?id=yl4dILkcqm4C
The Fellowship of the Ring  by John Ronald Reuel Tolkien;Alan Lee- google books,https://books.google.com/books/about/The_Fellowship_of_the_Ring.html?id=SeVg7tTw1ucC
Lirael Daughter of the Clayr by Garth Nix- google books,https://books.google.com/books/about/Lirael.html?id=nqM7PgAACAAJ
Tales from the Perilous Realm  by John Ronald Reuel Tolkien- google books,https://books.google.com/books/about/Tales_from_the_Perilous_Realm.html?id=fncBA7m5-wcC
Breaking Open the Head A Visionary Journey from Cynicism to Shamanism by Daniel Pinchbeck- google books,https://books.google.com/books/about/Breaking_Open_the_Head.html?id=QIMaviqqoQoC
The Yiddish Policemen's Union A Novel by Michael Chabon- google books,https://books.google.com/books/about/The_Yiddish_Policemen_s_Union.html?id=6JEDg7e2V3YC
"Beware, Princess Elizabeth  by Carolyn Meyer- google books",https://books.google.com/books/about/Beware_Princess_Elizabeth.html?id=oqcfyuR_SM4C
The Family Way  by Tony Parsons- google books,https://books.google.com/books/about/The_Family_Way.html?id=7sDLAQAACAAJ
Endless Night  by Agatha Christie- google books,https://books.google.com/books?id=JlaHy1HKpZ8C&source=gbs_book_other_versions_r&cad=4
How to be Alone  by Jonathan Franzen- google books,https://books.google.com/books/about/How_To_Be_Alone.html?id=2UzfAAAAQBAJ
The Mysterious Mr. Quin  by Agatha Christie- google books,https://books.google.com/books/about/The_Mysterious_Mr_Quin.html?id=65QrsX9uqVgC
The Listerdale Mystery  by Agatha Christie- google books,https://books.google.com/books/about/The_Listerdale_Mystery.html?id=YnC-EAAAQBAJ
The Real Trial of Oscar Wilde  by Merlin Holland- google books,https://books.google.com/books/about/The_Real_Trial_of_Oscar_Wilde.html?id=v3gfSbMtnHQC
I Can Read with Me Eyes Shut!  by Dr. Seuss- google books,https://books.google.com/books/about/I_can_read_with_my_eyes_shut.html?id=lLHwLuh8DZ8C
"Oh, the Places You'll Go!  by Dr. Seuss- google books",https://books.google.com/books/about/Oh_the_Places_You_ll_Go.html?id=_LettPDhwR0C
If I Die in a Combat Zone  by Tim O'Brien- google books,https://books.google.com/books/about/If_I_Die_in_a_Combat_Zone.html?id=-csxBxRLSQgC
The Return of the King Being the Third Part of The Lord of the Rings by J. R. R. Tolkien- google books,https://books.google.com/books/about/The_Return_of_the_King.html?id=QBWbp55jP4YC
The Silmarillion  by John Ronald Reuel Tolkien;Ted Nasmith- google books,https://books.google.com/books/about/The_Silmarillion.html?id=umsiofIqu3YC
I Wish that I Had Duck Feet  by Dr. Seuss;Barney Tobey- google books,https://books.google.com/books/about/I_Wish_That_I_Had_Duck_Feet.html?id=aNuEDwAAQBAJ&source=kp_cover
Oh Say Can You Say?  by Dr. Seuss- google books,https://books.google.com/books/about/Oh_Say_Can_You_Say.html?id=PGK83F1I48YC
There's a Boy in the Girls' Bathroom  by Louis Sachar- google books,https://books.google.com/books/about/There_s_a_Boy_in_the_Girls_Bathroom.html?id=1-FFe3Omy1IC
Microserfs  by Douglas Coupland- google books,https://books.google.com/books?id=GXxaAAAAMAAJ
Miss Wyoming  by Douglas Coupland- google books,https://www.amazon.com/Miss-Wyoming-Douglas-Coupland/dp/0375707239
Where Rainbows End  by Cecelia Ahern- google books,https://books.google.com/books/about/Where_Rainbows_End.html?id=QXF7NBQNT6AC
Poirot The Complete Ariadne Oliver by Agatha Christie- google books,https://books.google.com/books/about/Poirot.html?id=lbOOJGLxM9MC
The Art of The Lord of the Rings  by Gary Russell- google books,https://books.google.com/books?id=vdivoRxVLBMC&printsec=copyright
The Known World  by Edward P. Jones- google books,https://books.google.com/books/about/The_Known_World.html?id=CVS9a6lC5CwC
Discover Your Destiny with the Monk Who Sold His Ferrari The 7 Stages of Self-Awakening by Robin Sharma- google books,https://books.google.com/books/about/Discover_Your_Destiny_with_The_Monk_Who.html?id=IZy79NUupxQC&source=kp_cover
Naked Lunch The Restored Text by William S. Burroughs- google books,https://books.google.com/books/about/Naked_Lunch.html?id=MlvMaAKiobgC
Tropic of Cancer  by Henry Miller- google books,https://books.google.com/books/about/Tropic_of_Cancer.html?id=ProgRjTL8FIC
Close Range Brokeback Mountain and Other Stories by Annie Proulx- google books,https://books.google.com/books/about/Close_Range.html?id=f-zI3bgDiCAC
The Love of the Last Tycoon The Authorized Text by F. Scott Fitzgerald- google books,https://www.amazon.com/Love-Last-Tycoon-Scott-Fitzgerald/dp/0020199856
The Song of Rhiannon The Third Branch of the Mabinogion by Evangeline Walton- google books,https://books.google.com/books/about/The_Song_of_Rhiannon.html?id=m4WJPwAACAAJ
Heart Songs and Other Stories  by Annie Proulx- google books,https://books.google.com/books/about/Heart_Songs_and_Other_Stories.html?id=YDdbAAAAMAAJ
The voyage of the Dawn Treader  by Clive Staples Lewis- google books,https://books.google.com/books/about/The_Voyage_of_the_Dawn_Treader_adult.html?id=YN-HSCwta5IC
The Short Stories of Ernest Hemingway  by Ernest Hemingway- google books,https://www.amazon.com/Short-Stories-Ernest-Hemingway-Library/dp/147678762X
"The Screwtape Letters ; With, Screwtape Proposes a Toast  by Clive Staples Lewis- google books",https://books.google.com/books/about/The_Screwtape_Letters.html?id=MkOVEAAAQBAJ
The Elements of Style  by William Strunk;Elwyn Brooks White- google books,https://books.google.com/books/about/The_Elements_of_Style.html?id=ADaMf2tEB7sC
The Presocratics  by Philip Wheelwright- google books,https://books.google.com/books/about/The_Presocratics.html?id=B9QDAQAAIAAJ
The Rumble Seat Pony  by Clarence William Anderson- google books,https://www.amazon.com/Rumble-Seat-Pony-C-Anderson/dp/B0006C2TVK
The Journey with Grandmother  by Edith Unnerstad- google books,https://books.google.com/books/about/The_Journey_with_Grandmother.html?id=2F8DPQAACAAJ
Tyranny of the Majority Funamental Fairness in Representative Democracy by Lani Guinier- google books,https://books.google.com/books/about/Tyranny_of_the_Majority.html?id=aRF7XdcCLq0C
The Origins of the Civil Rights Movement  by Aldon D. Morris- google books,https://books.google.com/books/about/The_Origins_of_the_Civil_Rights_Movement.html?id=7vyHY9DWcu8C
